# Curated verse references, one per line:
#   surah:ayah | theme | source
#   surah:start-end | theme | source
# Theme and source are optional; the reference alone is still a valid line.
# Themes (closed vocabulary, enforced by testThemeVocabularyIsClosed):
#   mercy hope patience reliance dua gratitude character knowledge
#   justice tawhid accountability hereafter warning
# Sources are keys defined in docs/verse-sources.md.
1:1-7 | dua | al-fatiha
2:2 | accountability | topical-index
2:21 | dua | quranic-dua
2:42 | character | topical-index
2:44 | character | topical-index
2:45 | dua | quranic-dua
2:110 | character | topical-index
2:112 | dua | quranic-dua
2:147 | dua | quranic-dua
2:148 | character | topical-index
2:152 | gratitude | topical-index
2:153 | patience | topical-index
2:155-156 | dua | quranic-dua
2:163 | mercy | topical-index
2:172 | dua | quranic-dua
2:177 | character | topical-index
2:186 | character | topical-index
2:195 | character | topical-index
2:201 | dua | quranic-dua
2:216 | character | topical-index
2:222 | mercy | topical-index
2:255 | tawhid | ayat-al-kursi
2:256 | tawhid | topical-index
2:257 | warning | topical-index
2:261-262 | character | topical-index
2:263 | mercy | topical-index
2:268 | mercy | topical-index
2:269 | knowledge | topical-index
2:281 | accountability | topical-index
2:285 | tawhid | khawatim-al-baqarah
2:286 | dua | khawatim-al-baqarah
3:8 | dua | quranic-dua
3:14 | warning | topical-index
3:18 | tawhid | topical-index
3:26 | dua | quranic-dua
3:31 | mercy | topical-index
3:92 | character | topical-index
3:102 | accountability | topical-index
3:104 | justice | topical-index
3:133-134 | mercy | topical-index
3:134 | mercy | topical-index
3:139 | character | topical-index
3:147 | dua | quranic-dua
3:159 | reliance | topical-index
3:160 | character | topical-index
3:169 | character | topical-index
3:173 | reliance | topical-index
3:185 | warning | topical-index
3:190-191 | dua | quranic-dua
3:191 | dua | quranic-dua
3:194 | dua | quranic-dua
3:200 | accountability | topical-index
4:1 | dua | quranic-dua
4:58 | tawhid | topical-index
4:79 | justice | topical-index
4:86 | character | topical-index
4:110 | mercy | topical-index
4:114 | character | topical-index
4:124 | hereafter | topical-index
4:147 | warning | topical-index
5:8 | accountability | topical-index
5:35 | accountability | topical-index
5:39 | mercy | topical-index
5:88 | accountability | topical-index
5:90 | character | topical-index
5:100 | accountability | topical-index
6:17 | character | topical-index
6:32 | hereafter | topical-index
6:59 | tawhid | topical-index
6:103 | tawhid | topical-index
6:151 | justice | topical-index
6:160 | hereafter | topical-index
6:162 | tawhid | topical-index
7:23 | dua | quranic-dua
7:31 | character | topical-index
7:55-56 | mercy | topical-index
7:96 | character | topical-index
7:180 | dua | quranic-dua
7:199 | character | topical-index
7:200 | tawhid | topical-index
7:201 | accountability | topical-index
7:204 | mercy | topical-index
7:205 | character | topical-index
8:2 | character | topical-index
8:2-4 | reliance | topical-index
8:24 | dua | quranic-dua
8:29 | accountability | topical-index
8:46 | patience | topical-index
8:61 | reliance | topical-index
9:51 | reliance | topical-index
9:71 | character | topical-index
9:104 | mercy | topical-index
9:105 | justice | topical-index
9:119 | accountability | topical-index
9:128 | mercy | topical-index
9:129 | tawhid | topical-index
10:25 | character | topical-index
10:26 | hereafter | topical-index
10:44 | justice | topical-index
10:57 | mercy | topical-index
10:58 | mercy | topical-index
10:62 | character | topical-index
11:6 | character | topical-index
11:90 | mercy | topical-index
11:112 | dua | quranic-dua
11:114 | character | topical-index
11:115 | patience | topical-index
11:123 | dua | quranic-dua
12:53 | mercy | topical-index
12:86 | dua | quranic-dua
12:87 | hope | topical-index
12:101 | dua | quranic-dua
13:11 | character | topical-index
13:22 | patience | topical-index
13:24 | patience | topical-index
13:28 | character | topical-index
13:29 | character | topical-index
14:7 | warning | topical-index
14:24 | character | topical-index
14:40 | dua | quranic-dua
14:41 | dua | quranic-dua
15:9 | character | topical-index
15:49 | mercy | topical-index
15:98-99 | character | topical-index
16:18 | mercy | topical-index
16:32 | hereafter | topical-index
16:53 | character | topical-index
16:90 | justice | topical-index
16:96 | patience | topical-index
16:97 | hereafter | topical-index
16:114 | gratitude | topical-index
16:125 | character | topical-index
16:127 | patience | topical-index
16:128 | character | topical-index
17:23-24 | dua | quranic-dua
